Anonymized_Employee_ID	Product_S	Product_B	Product_C	total_sold	length(days)	days_with_sales(percen)	sales_per_day	unique_customers	unique_customers(percen)
FR_VIL_S1011_AL	0.34	0.32	0.34	41	62	0.13	5.12	14	1.0
FR_VIL_S1021_QZ	0.33	0.33	0.33	18	8	0.5	4.5	6	1.0
FR_VIL_S1022_QZ	0.34	0.34	0.32	41	9	0.67	6.83	14	1.0
FR_VIL_S1031_AL	0.33	0.33	0.33	165	57	0.47	6.11	55	1.0
FR_VIL_S1031_QZ	0.33	0.33	0.33	183	67	0.46	5.9	59	0.9672131147540983
FR_VIL_S1032_AL	0.33	0.33	0.33	18	28	0.14	4.5	6	1.0
FR_VIL_S1032_QZ	0.33	0.33	0.33	81	73	0.21	5.4	27	1.0
FR_VIL_S1042_AL	0.33	0.33	0.33	12	2	1.0	6.0	4	1.0
FR_VIL_S1051_AL	0.33	0.33	0.33	81	76	0.22	4.76	27	1.0
FR_VIL_S1052_AL	0.33	0.33	0.33	132	63	0.37	5.74	44	1.0
FR_VIL_S1052_QZ	0.33	0.33	0.33	24	8	0.5	6.0	8	1.0
FR_VIL_S1061_AL	0.33	0.33	0.33	102	57	0.39	4.64	33	0.9705882352941176
FR_VIL_S1091_AL	0.34	0.33	0.33	211	77	0.4	6.81	67	0.9436619718309859
FR_VIL_S1092_AL	0.33	0.33	0.33	30	38	0.11	7.5	10	1.0
FR_VIL_S1101_QZ	0.33	0.33	0.33	129	70	0.31	5.86	41	0.9534883720930233
FR_VIL_S1102_AL	0.33	0.33	0.33	6	1	1.0	6.0	2	1.0
FR_VIL_S1102_QZ	0.33	0.33	0.33	27	2	1.0	13.5	9	1.0
FR_VIL_S2011_AL	0.33	0.33	0.33	234	79	0.48	6.16	78	1.0
FR_VIL_S2011_QZ	0.34	0.32	0.34	109	73	0.3	4.95	37	1.0
FR_VIL_S2012_AL	0.33	0.33	0.33	123	86	0.34	4.24	41	1.0
FR_VIL_S2012_QZ	0.33	0.33	0.33	135	71	0.25	7.5	42	0.9333333333333333
FR_VIL_S2021_AL	0.33	0.33	0.33	54	32	0.44	3.86	18	1.0
FR_VIL_S2022_AL	0.35	0.32	0.33	268	86	0.44	7.05	89	0.956989247311828
